JYCSM-WB-041	Durgapur Exact Computer Education Centre.	Sudip Kumar Saha	1/4 Sarada Pally,Benachity,Durgapur-13	Paschim Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-042	Kalaikunda Jatiya Yuva Computer Shaksharta Mission	Ujjal Bhattacharya	Salika,Hariatara,721304	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-043	Daulatnagar IT Institute	Sk Saddam	Daulatnagar,Harishchandrapur,732125	Malda	West Bengal	All Type Of Computer Courses
JYCSM-WB-044	Jatiya Yuva Computer Shaksharata Mission,Krishnapur	Akash Bar	Krishnapur,700102	Kolkata	West Bengal	All Type Of Computer Courses
JYCSM-WB-045	Jatiya Yuva Computer Shaksharta Mission,Haldia	Santanu Bhowmik	Brajanathchak,Haldia Township,Haldia,721607	Purba Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-046	Jatiya Yuva Computer Shaksharata Mission,N.S Dutta Road	Amitava Sengupta	144/1, Narasingha Dutta Rd,711101	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-047	Khatra Computer Training Institute.	Kusum Dutta	Khatra,722140	Bankura	West Bengal	All Type Of Computer Courses
JYCSM-WB-048	Radiant Academy	Rohit Saha & Rejuana Pervin	Purba College Para Raiganj ,Land Mark- Raiganj University, 733134	Uttar Dinajpur	West Bengal	All Type Of Computer Courses
JYCSM-WB-049	Discovery Computer Center	Susanta Biswas	Debipur R.S,Alipur Rajbagan,713146	Purba Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-050	MobileZ Technical Institute	Bimalesh Mondal	Bagnan Muralibar Near Bondhan bank,711303	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-051	Chandrakona Road Jatiya Yuva Computer Shaksharta Mission	Manik Rakshit	Durlavganj,Satbankura,721253	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-052	Jatiya Yuva Computer Shaksharta Mission Hemtabad	Silpi Sarkar Sen	Hemtabad,733130	Uttar Dinajpur	West Bengal	All Type Of Computer Courses
JYCSM-WB-053	Bhutsahar Jatiya Yuva Computer Shaksharta Mission	Debkumar Giri & Rakhi Giri	Bhutsahar (Near Girl High School) ,Simlapal,721121	Bankura	West Bengal	All Type Of Computer Courses
JYCSM-WB-054	Jatiya Yuva Computer Shaksharta Mission.Dum Dum Cantonment	Nirjhar Modak	Dum Dum Cantonment,700065	Kolkata	West Bengal	All Type Of Computer Courses
JYCSM-ML-055	Jatiya Yuva Computer Shaksharata Mission,Pathorkata	Tasrul Islam	Pathorkata,Paham,794104	West Garo Hills	Meghalaya	All Type Of Computer Courses
JYCSM-WB-056	Jhawkhola Jatiya Yuva Computer Centre.	Payal Sarkar	Jhawkhola More,Cossimbazar,742102	Murshidabad	West Bengal	All Type Of Computer Courses
JYCSM-WB-057	Institute of Digital Technology	Krishnashis Mukherjee	Baidyadanga,Rasulpur,733151	Purba Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-058	Memari Jatiya Yuva Computer Shaksharta Mission	Gobinda Kundu	Memari,Nabapally,713146	Purba Bardhaman	West Bengal	All Type Of Computer Courses
